15	9	E	-5909075.514914535	113
emissionprobs	9	5	H3k4me3	1	9.418998031680366E-5
emissionprobs	9	6	H3k79me2	0	0.1731419191428515
emissionprobs	9	6	H3k79me2	1	0.8268580808571484
emissionprobs	9	7	H3k9me1	0	0.9824737291946727
emissionprobs	9	7	H3k9me1	1	0.01752627080532732
emissionprobs	9	8	H4k20me1	0	0.9194394805472961
emissionprobs	9	8	H4k20me1	1	0.08056051945270391
emissionprobs	10	0	H3K9ac	0	0.9944014603161507
emissionprobs	10	0	H3K9ac	1	0.00559853968384929
emissionprobs	10	1	H3k09me3	0	0.9963279451339281
emissionprobs	10	1	H3k09me3	1	0.0036720548660719686
emissionprobs	10	2	H3k27me3	0	0.9997346187869792
emissionprobs	10	2	H3k27me3	1	2.6538121302078057E-4
emissionprobs	10	3	H3k36me3	0	0.4277194803569964
emissionprobs	10	3	H3k36me3	1	0.5722805196430036
emissionprobs	10	4	H3k4me2	0	0.9849636105074693
emissionprobs	10	4	H3k4me2	1	0.015036389492530798
emissionprobs	10	5	H3k4me3	0	0.999469044903969
emissionprobs	10	5	H3k4me3	1	5.309550960309797E-4
emissionprobs	10	6	H3k79me2	0	0.4185218910695006
emissionprobs	10	6	H3k79me2	1	0.5814781089304993
emissionprobs	10	7	H3k9me1	0	0.9860582999334235
emissionprobs	10	7	H3k9me1	1	0.013941700066576483
emissionprobs	10	8	H4k20me1	0	0.9389068312535467
emissionprobs	10	8	H4k20me1	1	0.06109316874645332
emissionprobs	11	0	H3K9ac	0	0.9987318717339222
emissionprobs	11	0	H3K9ac	1	0.001268128266077692
emissionprobs	11	1	H3k09me3	0	0.9990049526813293
emissionprobs	11	1	H3k09me3	1	9.950473186707601E-4
emissionprobs	11	2	H3k27me3	0	0.9999176621817311
emissionprobs	11	2	H3k27me3	1	8.233781826896235E-5
emissionprobs	11	3	H3k36me3	0	0.7576312933739967
emissionprobs	11	3	H3k36me3	1	0.24236870662600327
emissionprobs	11	4	H3k4me2	0	0.9981870680509978
emissionprobs	11	4	H3k4me2	1	0.0018129319490022033
emissionprobs	11	5	H3k4me3	0	0.999871728043003
emissionprobs	11	5	H3k4me3	1	1.2827195699713855E-4
emissionprobs	11	6	H3k79me2	0	0.9904179169379401
emissionprobs	11	6	H3k79me2	1	0.009582083062059814
emissionprobs	11	7	H3k9me1	0	0.9936767688371624
emissionprobs	11	7	H3k9me1	1	0.006323231162837647
emissionprobs	11	8	H4k20me1	0	0.9939902155144106
emissionprobs	11	8	H4k20me1	1	0.006009784485589414
emissionprobs	12	0	H3K9ac	0	0.9779272637910883
emissionprobs	12	0	H3K9ac	1	0.022072736208911727
emissionprobs	12	1	H3k09me3	0	0.15780603797690973
emissionprobs	12	1	H3k09me3	1	0.8421939620230903
emissionprobs	12	2	H3k27me3	0	0.8194358776377129
emissionprobs	12	2	H3k27me3	1	0.18056412236228708
emissionprobs	12	3	H3k36me3	0	0.6437819150177834
emissionprobs	12	3	H3k36me3	1	0.35621808498221674
emissionprobs	12	4	H3k4me2	0	0.9491105517022094
emissionprobs	12	4	H3k4me2	1	0.05088944829779061
